StudentSSN,Department
165090933,Software Engineering
153530670,Data Science
789313016,Data Science
978250576,Information Technology
354894823,Computer Science
675345800,Computer Science
837349019,Data Science
724134517,Software Engineering
905807520,Information Technology
200311227,Information Technology
239723563,Software Engineering
914408084,Information Technology
100000002,Computer Science
607222274,Software Engineering
251880287,Computer Science
100000003,Software Engineering
100000004,Data Science
143525711,Computer Science
940867683,Software Engineering
498274608,Software Engineering
690651636,Data Science
460841569,Computer Science
968964215,Software Engineering
318653319,Data Science
100000005,Software Engineering
976061078,Software Engineering
459155804,Computer Science
673535978,Data Science
985075643,Computer Science
713964741,Information Technology
816946341,Information Technology
693959601,Data Science
422039599,Computer Science
863425755,Data Science
837765707,Information Technology
489953771,Data Science
306164905,Computer Science
463885038,Data Science
639158373,Computer Science
185437537,Information Technology
508700448,Information Technology
315727734,Software Engineering
455628746,Software Engineering
156438046,Software Engineering
665084529,Computer Science
316405161,Software Engineering
743234410,Data Science
499812945,Data Science
713710184,Computer Science
354735680,Data Science
406730036,Information Technology
350825420,Software Engineering
971003255,Computer Science
422926638,Data Science
438701890,Software Engineering
848500860,Software Engineering
100000006,Information Technology
431903294,Computer Science
469430660,Computer Science
617819228,Computer Science
140504709,Computer Science
746423780,Data Science
351166872,Computer Science
789244692,Information Technology
493184669,Data Science
632058071,Information Technology
518135220,Computer Science
382309263,Software Engineering
446449911,Software Engineering
371770700,Data Science
562898293,Software Engineering
726172298,Software Engineering
287986033,Data Science
100000007,Computer Science
290277089,Software Engineering
352674156,Software Engineering
634276401,Information Technology
129280263,Computer Science
351694746,Data Science
293186456,Software Engineering
469182121,Data Science
423003161,Information Technology
728533392,Data Science
159057629,Computer Science
642064066,Data Science
491523061,Software Engineering
139620818,Software Engineering
854602537,Information Technology
941338455,Computer Science
509736956,Information Technology
394365269,Data Science
863327710,Information Technology
560458287,Software Engineering
695317014,Software Engineering
706572534,Information Technology
789059957,Computer Science
555638528,Information Technology
100000008,Data Science
846285935,Software Engineering
756676077,Computer Science
202448052,Information Technology
427441052,Software Engineering
878784565,Computer Science
948088395,Computer Science
632698840,Data Science
557935007,Data Science
618045282,Information Technology
418256535,Computer Science
490512206,Software Engineering
100000009,Computer Science
796710786,Information Technology
669393590,Information Technology
450195244,Data Science
979966424,Software Engineering
655500756,Information Technology
122766420,Software Engineering
100000010,Software Engineering
379308077,Information Technology
841368422,Information Technology
480134868,Information Technology
619319418,Computer Science
166137407,Software Engineering
660809440,Data Science
140357503,Information Technology
913261728,Computer Science
699678615,Information Technology
619554042,Data Science
622507523,Data Science
509690476,Data Science
100000011,Information Technology
382344942,Computer Science
525268183,Information Technology
912615981,Information Technology
174631601,Data Science
452026043,Information Technology
450010674,Data Science
347842732,Data Science
951367056,Computer Science
597574672,Information Technology
278385512,Data Science
868356701,Computer Science
175673079,Computer Science
684634282,Computer Science
249080948,Software Engineering
589805086,Software Engineering
692505615,Information Technology
507461788,Software Engineering
268473315,Software Engineering
149973719,Software Engineering
569317071,Data Science
977618865,Data Science
457703052,Software Engineering
521254384,Information Technology
411620820,Data Science
172615399,Computer Science
951402384,Data Science
586537724,Computer Science
361400779,Information Technology
493112501,Information Technology
806708098,Computer Science
390538610,Information Technology
172759481,Computer Science
506902216,Data Science
834112233,Software Engineering
980343898,Data Science
354896138,Software Engineering
421550895,Software Engineering
857149319,Information Technology
213046640,Information Technology
100000012,Data Science
910024652,Computer Science
751972468,Information Technology
627517641,Software Engineering
100000013,Computer Science
872400342,Software Engineering
348996489,Software Engineering
816334009,Information Technology
487452265,Computer Science
775632900,Data Science
823810119,Computer Science
100000014,Data Science
992315967,Data Science
569709267,Software Engineering
786041237,Data Science
123155514,Data Science
246310500,Computer Science
100000015,Information Technology
895629150,Information Technology
586864135,Software Engineering
597091595,Software Engineering
785725811,Software Engineering
293010195,Computer Science
691369051,Software Engineering
704371183,Information Technology
290953684,Computer Science
767348248,Information Technology
372745862,Information Technology
100000016,Information Technology
563951297,Data Science
100000017,Information Technology
285603712,Data Science
930901196,Information Technology
621493035,Information Technology
627362409,Data Science
109730698,Computer Science
274293039,Information Technology
950296005,Information Technology
872890293,Software Engineering
222772332,Data Science
350916127,Information Technology
917119093,Data Science
100000018,Computer Science
100000019,Information Technology
365328759,Data Science
571320781,Data Science
878113706,Information Technology
183408154,Software Engineering
100000020,Software Engineering
727209592,Information Technology
313716645,Software Engineering
100000021,Data Science
894584013,Software Engineering
100000022,Information Technology
515366444,Software Engineering
100000023,Information Technology
329661340,Information Technology
870542815,Software Engineering
508175756,Computer Science
809227630,Software Engineering
675981741,Data Science
254162963,Information Technology
696379272,Information Technology
461444858,Software Engineering
981066616,Computer Science
848463319,Data Science
200326629,Computer Science
705919886,Computer Science
878803525,Computer Science
501266473,Computer Science
842727338,Software Engineering
860738998,Software Engineering
100000024,Computer Science
912730850,Computer Science
405644051,Software Engineering
378100947,Data Science
821230172,Information Technology
224675218,Information Technology
100000025,Data Science
156526146,Information Technology
627311685,Computer Science
936650072,Computer Science
208221954,Computer Science
479632461,Computer Science
496644618,Software Engineering
811705918,Computer Science
596877282,Software Engineering
224163916,Data Science
584937760,Software Engineering
599489305,Data Science
853677263,Software Engineering
992677232,Information Technology
679411264,Computer Science
628758312,Data Science
387675834,Information Technology
857184401,Software Engineering
558020914,Data Science
695769552,Computer Science
543468696,Data Science
939171260,Information Technology
344954523,Computer Science
201684871,Computer Science
968684148,Information Technology
552839373,Computer Science
651384401,Software Engineering
659413809,Data Science
400536409,Information Technology
846802993,Computer Science
100000026,Information Technology
660296604,Data Science
638029666,Data Science
399265425,Information Technology
797964938,Software Engineering
235684437,Data Science
421176673,Data Science
732191692,Data Science
541880068,Information Technology
385332923,Information Technology
860858292,Data Science
100000027,Software Engineering
328304786,Computer Science
100000028,Information Technology
528602885,Information Technology
232463973,Information Technology
535585025,Software Engineering
100000029,Software Engineering
945332547,Data Science
873784666,Software Engineering
915440837,Software Engineering
448950483,Software Engineering
576687226,Computer Science
388211450,Software Engineering
246613425,Information Technology
962139099,Computer Science
799907038,Data Science
