StudentSSN,Department
569379641,Cybersecurity
721899056,Software Engineering
278385512,Nanoscience and Technology
792516743,Nanoscience and Technology
518135220,Computer Science
372736581,Nanoscience and Technology
775699667,Nanoscience and Technology
231748591,Software Engineering
175992227,Computer Science
100000030,Cybersecurity
170752202,Cybersecurity
382309263,Cybersecurity
771769527,Nanoscience and Technology
750793970,Software Engineering
744675232,Computer Science
542384857,Nanoscience and Technology
634276401,Nanoscience and Technology
817949260,Software Engineering
120915055,Computer Science
936096402,Software Engineering
424527880,Software Engineering
509240053,Software Engineering
878686104,Computer Science
492965119,Software Engineering
519233506,Cybersecurity
113129880,Software Engineering
828130093,Cybersecurity
444199247,Cybersecurity
949654912,Nanoscience and Technology
854960070,Software Engineering
318653319,Cybersecurity
816946341,Cybersecurity
100000050,Software Engineering
100000049,Computer Science
727209592,Computer Science
643323582,Cybersecurity
941338455,Software Engineering
252681093,Computer Science
468496763,Computer Science
581097716,Software Engineering
100000056,Cybersecurity
100000087,Cybersecurity
664982578,Software Engineering
878113706,Computer Science
418256535,Nanoscience and Technology
610363248,Cybersecurity
370546816,Nanoscience and Technology
399265425,Cybersecurity
295296741,Cybersecurity
100000032,Computer Science
696379272,Computer Science
969872661,Computer Science
185437537,Cybersecurity
567401867,Cybersecurity
209345817,Software Engineering
679411264,Nanoscience and Technology
246499922,Software Engineering
617819228,Software Engineering
248946972,Nanoscience and Technology
347842732,Computer Science
555638528,Software Engineering
873784666,Software Engineering
448757944,Computer Science
247902318,Computer Science
853677263,Software Engineering
684848478,Computer Science
433200315,Software Engineering
562898293,Computer Science
932555948,Nanoscience and Technology
339708300,Cybersecurity
872197714,Nanoscience and Technology
100000026,Cybersecurity
455496409,Software Engineering
634577579,Cybersecurity
213046640,Computer Science
789244692,Cybersecurity
550141983,Cybersecurity
872400342,Software Engineering
859707809,Nanoscience and Technology
490512774,Cybersecurity
764007942,Nanoscience and Technology
375352489,Cybersecurity
100000082,Cybersecurity
390716057,Nanoscience and Technology
931829666,Computer Science
456744286,Nanoscience and Technology
100000067,Software Engineering
702951002,Nanoscience and Technology
200700144,Nanoscience and Technology
139620818,Computer Science
400536409,Cybersecurity
127440715,Cybersecurity
232463973,Computer Science
917119093,Cybersecurity
