SSN,F_Name,M_Initial,L_Name,Sex,Enrollment_Date,Building_Number,Street,Apt_Number,City,State,Zip,UserID
165090933,Jack,A,Garcia,F,11/24/2021,5565,Nebula St,903,Richardson,TX,75012,1
153530670,Alice,G,Garcia,F,5/3/2023,3678,Comet Ln,181,Richardson,TX,75094,2
789313016,Henry,J,Smith,M,2/5/2024,8158,Orbit Dr,248,Richardson,TX,75011,3
978250576,Ivy,C,Jones,F,11/13/2020,5429,Astro Way,501,Richardson,TX,75025,4
354894823,Bob,G,Smith,F,2/3/2019,1500,Orbit Dr,112,Richardson,TX,75079,5
675345800,Bob,C,Martinez,M,1/15/2021,9720,Comet Ln,261,Richardson,TX,75021,6
837349019,David,D,Garcia,M,4/6/2019,1251,Astro Way,54,Richardson,TX,75018,7
724134517,Alice,A,Jones,F,8/21/2024,815,Nebula St,269,Richardson,TX,75053,8
905807520,Grace,C,Martinez,F,1/12/2024,5046,Nebula St,938,Richardson,TX,75072,9
200311227,Eva,I,Martinez,M,2/12/2024,4073,Comet Ln,431,Richardson,TX,75087,10
239723563,Carol,F,Brown,M,8/23/2021,4795,Comet Ln,150,Richardson,TX,75047,11
914408084,Bob,I,Davis,F,10/18/2022,2107,Orbit Dr,406,Richardson,TX,75090,12
100000002,Carol,H,Martinez,F,2/20/2023,9578,Orbit Dr,298,Richardson,TX,75035,13
607222274,Henry,J,Williams,M,7/15/2021,1874,Orbit Dr,257,Richardson,TX,75046,14
251880287,Grace,B,Davis,F,1/18/2021,4370,Galaxy Blvd,401,Richardson,TX,75034,15
100000003,Bob,E,Smith,F,8/22/2020,155,Astro Way,764,Richardson,TX,75031,16
100000004,Eva,F,Martinez,F,4/24/2024,5025,Comet Ln,478,Richardson,TX,75012,17
143525711,Grace,G,Martinez,M,4/12/2022,7273,Nebula St,580,Richardson,TX,75053,18
940867683,Grace,E,Davis,F,1/16/2022,5677,Orbit Dr,212,Richardson,TX,75055,19
498274608,Eva,E,Brown,M,5/25/2024,5511,Orbit Dr,931,Richardson,TX,75068,20
690651636,Alice,C,Brown,F,4/23/2022,3889,Nebula St,552,Richardson,TX,75049,21
460841569,Eva,G,Williams,F,4/9/2021,7421,Astro Way,930,Richardson,TX,75059,22
968964215,Grace,D,Martinez,M,9/17/2021,8089,Comet Ln,678,Richardson,TX,75068,23
318653319,Ivy,A,Jones,F,7/18/2021,935,Nebula St,378,Richardson,TX,75037,24
100000005,Alice,C,Jones,M,9/23/2020,7413,Nebula St,189,Richardson,TX,75051,25
976061078,Frank,D,Davis,F,7/14/2022,8471,Comet Ln,482,Richardson,TX,75057,26
459155804,Eva,H,Martinez,F,5/6/2019,4310,Nebula St,696,Richardson,TX,75045,27
673535978,Jack,I,Garcia,F,3/22/2024,2619,Comet Ln,677,Richardson,TX,75045,28
985075643,Alice,G,Martinez,M,1/25/2021,3106,Comet Ln,535,Richardson,TX,75065,29
713964741,Frank,I,Davis,F,10/19/2021,3606,Orbit Dr,543,Richardson,TX,75092,30
816946341,Ivy,B,Martinez,F,5/2/2019,2564,Galaxy Blvd,102,Richardson,TX,75030,31
693959601,Ivy,D,Martinez,F,3/21/2024,9718,Nebula St,216,Richardson,TX,75062,32
422039599,Grace,D,Smith,F,6/16/2022,921,Galaxy Blvd,585,Richardson,TX,75078,33
863425755,Frank,D,Jones,M,7/10/2023,7394,Orbit Dr,795,Richardson,TX,75097,34
837765707,Jack,J,Martinez,F,2/13/2023,5783,Galaxy Blvd,460,Richardson,TX,75041,35
489953771,David,G,Jones,F,9/15/2024,2804,Astro Way,245,Richardson,TX,75022,36
306164905,Ivy,J,Martinez,F,7/11/2024,9972,Comet Ln,815,Richardson,TX,75026,37
463885038,Alice,B,Jones,F,3/27/2024,7951,Orbit Dr,266,Richardson,TX,75017,38
639158373,Jack,H,Garcia,M,3/15/2020,6299,Astro Way,328,Richardson,TX,75016,39
185437537,David,E,Martinez,F,10/17/2021,3644,Galaxy Blvd,300,Richardson,TX,75048,40
508700448,Carol,D,Lee,F,4/17/2019,6695,Nebula St,770,Richardson,TX,75063,41
315727734,Ivy,C,Smith,M,6/24/2021,6812,Nebula St,860,Richardson,TX,75013,42
455628746,Bob,J,Martinez,M,2/5/2023,7829,Orbit Dr,419,Richardson,TX,75048,43
156438046,Grace,D,Smith,M,2/16/2024,8412,Astro Way,952,Richardson,TX,75049,44
665084529,Alice,C,Garcia,F,10/22/2022,3485,Orbit Dr,964,Richardson,TX,75023,45
316405161,Frank,A,Brown,M,12/20/2024,4773,Orbit Dr,249,Richardson,TX,75027,46
743234410,Jack,C,Williams,M,4/26/2023,2967,Astro Way,629,Richardson,TX,75080,47
499812945,Carol,H,Williams,F,10/21/2023,4506,Comet Ln,980,Richardson,TX,75012,48
713710184,David,I,Davis,M,1/17/2022,2602,Astro Way,895,Richardson,TX,75025,49
354735680,Ivy,I,Davis,M,3/11/2023,8619,Orbit Dr,637,Richardson,TX,75058,50
406730036,Bob,H,Brown,M,12/2/2021,2052,Astro Way,252,Richardson,TX,75018,51
350825420,Bob,B,Lee,M,8/9/2023,8862,Nebula St,198,Richardson,TX,75051,52
971003255,Jack,J,Brown,F,12/22/2021,7108,Galaxy Blvd,108,Richardson,TX,75038,53
422926638,Frank,I,Lee,F,9/15/2021,9269,Astro Way,473,Richardson,TX,75067,54
438701890,Bob,I,Jones,F,6/23/2021,1943,Comet Ln,855,Richardson,TX,75060,55
848500860,Henry,F,Jones,F,1/6/2024,6380,Orbit Dr,663,Richardson,TX,75020,56
100000006,Frank,I,Martinez,M,1/9/2024,333,Astro Way,101,Richardson,TX,75081,57
431903294,Alice,J,Martinez,F,5/1/2021,5268,Nebula St,297,Richardson,TX,75028,58
469430660,Frank,B,Jones,F,3/12/2023,810,Nebula St,583,Richardson,TX,75027,59
617819228,Ivy,A,Garcia,M,7/25/2023,7180,Comet Ln,83,Richardson,TX,75081,60
140504709,Ivy,B,Smith,F,3/16/2022,5682,Orbit Dr,477,Richardson,TX,75031,61
746423780,Henry,I,Smith,M,12/8/2019,839,Astro Way,772,Richardson,TX,75048,62
