ProfessorSSN,PPhone,Salary,Office_Location,Office_Hrs,Department
910020692,9307958695,129864.39,ECSS 4.700,TR 2-4 AM,Computer Science
256694928,3557167882,147410.05,ECSN 4.403,TR 11-13 AM,Computer Science
476540924,3129969996,115634.64,ECSN 3.428,TR 2-4 AM,Computer Science
723893318,7455494880,117684.02,ECSN 3.598,MW 10-12 AM,Computer Science
764551079,5452312363,141335.34,ECSS 4.477,MW 9-11 AM,Computer Science
601765707,9934467807,82221.04,ECSN 3.624,TR 10-12 AM,Computer Science
856634553,6920910731,89110.58,ECSW 2.905,MW 3-5 AM,Computer Science
672157538,5845383976,98164.56,ECSW 2.507,MW 3-5 AM,Computer Science
360662923,8739722534,141368.87,ECSS 4.700,F 9-11 AM,Computer Science
306132758,3414607925,94991.51,ECSN 2.475,F 11-13 AM,Computer Science
770545107,4078674726,131029.55,ECSW 3.544,F 10-12 AM,Computer Science
423949264,6727356203,80804.88,ECSW 3.778,MW 1-3 AM,Computer Science
632151738,0269698847,114231.29,ECSW 4.906,F 10-12 AM,Computer Science
117316167,8380990669,110717.48,ECSN 3.338,F 9-11 AM,Computer Science
627815400,0975834927,112040.18,ECSS 4.281,F 10-12 AM,Computer Science
842341927,8278228127,148784.74,ECSS 2.569,MW 2-4 AM,Computer Science
936088867,8645656531,97145.26,ECSS 2.681,TR 10-12 AM,Computer Science
900128846,4588549445,141678.11,ECSS 3.592,TR 2-4 AM,Computer Science
