StudentSSN,Section_ID
569379641,183
569379641,214
569379641,280
569379641,276
721899056,88
721899056,12
721899056,138
721899056,27
721899056,235
721899056,110
278385512,310
278385512,58
278385512,213
278385512,245
278385512,196
792516743,261
792516743,78
792516743,233
792516743,66
792516743,158
792516743,219
518135220,53
518135220,319
518135220,273
518135220,299
518135220,308
372736581,59
372736581,134
372736581,258
372736581,8
372736581,131
775699667,235
775699667,81
775699667,48
775699667,180
775699667,193
775699667,106
231748591,218
231748591,100
231748591,49
231748591,192
231748591,72
231748591,211
231748591,122
175992227,214
175992227,103
175992227,238
175992227,117
175992227,167
100000030,304
100000030,175
100000030,13
100000030,31
100000030,179
100000030,293
100000030,24
170752202,121
170752202,182
170752202,208
170752202,259
170752202,165
170752202,201
382309263,259
382309263,126
382309263,256
382309263,82
382309263,106
382309263,141
382309263,65
771769527,151
771769527,32
771769527,50
771769527,1
771769527,80
750793970,168
750793970,40
750793970,318
750793970,238
744675232,186
744675232,164
744675232,179
744675232,291
744675232,69
744675232,271
542384857,248
542384857,185
542384857,151
542384857,135
634276401,316
634276401,114
634276401,178
634276401,126
634276401,59
634276401,89
817949260,197
817949260,115
817949260,240
817949260,208
817949260,9
817949260,232
817949260,184
120915055,293
120915055,17
120915055,148
120915055,199
120915055,118
936096402,29
936096402,194
936096402,4
936096402,9
936096402,159
424527880,20
424527880,103
424527880,192
424527880,29
424527880,68
424527880,319
424527880,28
509240053,183
509240053,219
509240053,97
509240053,264
509240053,249
509240053,143
509240053,31
878686104,173
878686104,141
878686104,251
878686104,286
492965119,145
492965119,211
492965119,27
492965119,231
492965119,14
519233506,289
519233506,118
519233506,201
519233506,121
519233506,254
519233506,229
113129880,96
113129880,131
113129880,162
113129880,85
113129880,239
828130093,243
828130093,92
828130093,162
828130093,51
444199247,237
444199247,229
444199247,147
444199247,217
444199247,190
444199247,74
949654912,242
949654912,250
949654912,188
949654912,250
949654912,130
854960070,105
854960070,89
854960070,26
854960070,147
854960070,26
854960070,115
318653319,190
318653319,197
318653319,166
318653319,42
318653319,106
816946341,99
816946341,8
816946341,159
816946341,172
816946341,181
816946341,155
816946341,156
100000050,292
100000050,85
100000050,310
100000050,281
100000050,262
100000050,166
100000049,123
100000049,20
100000049,1
100000049,182
100000049,243
727209592,302
727209592,108
727209592,164
727209592,123
727209592,33
643323582,131
643323582,112
643323582,23
643323582,90
643323582,183
941338455,257
941338455,279
941338455,121
941338455,192
252681093,68
252681093,27
252681093,228
252681093,283
252681093,32
252681093,193
252681093,45
468496763,79
468496763,160
468496763,29
468496763,44
468496763,180
468496763,77
581097716,108
581097716,131
581097716,257
581097716,211
581097716,120
581097716,208
581097716,84
100000056,246
100000056,77
100000056,66
100000056,27
100000056,167
100000056,118
100000056,91
100000087,129
100000087,112
100000087,125
100000087,212
100000087,204
664982578,126
664982578,290
664982578,76
664982578,123
664982578,191
664982578,308
664982578,147
878113706,213
878113706,269
878113706,181
878113706,70
878113706,13
878113706,69
878113706,13
418256535,275
418256535,214
418256535,180
418256535,241
418256535,21
610363248,20
610363248,197
610363248,128
610363248,186
610363248,77
610363248,46
610363248,244
370546816,239
370546816,256
370546816,250
370546816,208
370546816,122
399265425,306
399265425,88
399265425,71
399265425,281
399265425,142
399265425,207
295296741,82
295296741,192
295296741,277
295296741,146
295296741,117
295296741,57
100000032,246
100000032,112
100000032,49
100000032,287
100000032,29
100000032,13
696379272,50
696379272,109
696379272,22
696379272,57
696379272,80
969872661,60
969872661,228
969872661,278
969872661,314
969872661,102
185437537,237
185437537,253
185437537,127
185437537,264
185437537,134
567401867,206
567401867,80
567401867,163
567401867,216
567401867,156
567401867,310
567401867,301
209345817,153
209345817,98
209345817,139
209345817,278
209345817,273
679411264,23
679411264,284
679411264,165
679411264,280
679411264,120
679411264,278
246499922,214
246499922,84
246499922,240
246499922,207
246499922,52
617819228,9
617819228,230
617819228,73
617819228,278
617819228,187
617819228,53
248946972,223
248946972,71
248946972,99
248946972,138
248946972,143
248946972,247
347842732,157
347842732,141
347842732,70
347842732,118
347842732,246
347842732,239
555638528,38
555638528,121
555638528,103
555638528,219
873784666,72
873784666,291
873784666,294
873784666,122
873784666,250
873784666,165
448757944,83
448757944,174
448757944,156
448757944,95
448757944,73
448757944,237
247902318,248
247902318,108
247902318,213
247902318,56
247902318,152
247902318,219
247902318,7
853677263,131
853677263,253
853677263,29
853677263,177
853677263,84
853677263,75
684848478,287
684848478,156
684848478,121
684848478,243
433200315,249
433200315,229
433200315,141
433200315,68
433200315,303
433200315,260
562898293,51
562898293,187
562898293,138
562898293,204
562898293,106
562898293,216
932555948,273
932555948,102
932555948,153
932555948,64
932555948,9
339708300,142
339708300,109
339708300,78
339708300,10
339708300,80
339708300,273
872197714,194
872197714,315
872197714,92
872197714,147
872197714,57
872197714,24
100000026,196
100000026,119
100000026,175
100000026,25
100000026,107
100000026,290
455496409,295
455496409,112
455496409,175
455496409,94
634577579,49
634577579,232
634577579,104
634577579,187
634577579,201
213046640,205
213046640,131
213046640,178
213046640,123
213046640,15
789244692,32
789244692,224
789244692,64
789244692,137
789244692,232
550141983,218
550141983,246
550141983,94
550141983,152
550141983,253
872400342,124
872400342,43
872400342,2
872400342,66
872400342,315
872400342,41
859707809,301
859707809,122
859707809,104
859707809,197
490512774,56
490512774,64
490512774,191
490512774,317
490512774,152
490512774,164
764007942,69
764007942,39
764007942,131
764007942,218
764007942,300
375352489,135
375352489,85
375352489,77
375352489,191
375352489,194
375352489,30
375352489,118
100000082,25
100000082,238
100000082,91
100000082,211
100000082,55
100000082,83
100000082,116
390716057,291
390716057,59
390716057,273
390716057,203
390716057,172
390716057,290
931829666,151
931829666,301
931829666,264
931829666,82
931829666,83
456744286,63
456744286,99
456744286,156
456744286,318
456744286,40
100000067,293
100000067,255
100000067,269
100000067,72
100000067,214
100000067,122
100000067,320
702951002,243
702951002,15
702951002,152
702951002,140
702951002,172
702951002,107
200700144,78
200700144,138
200700144,202
200700144,269
139620818,68
139620818,249
139620818,288
139620818,178
139620818,218
400536409,240
400536409,157
400536409,90
400536409,33
400536409,96
127440715,93
127440715,161
127440715,3
127440715,233
127440715,226
127440715,179
232463973,29
232463973,141
232463973,251
232463973,139
232463973,273
917119093,14
917119093,199
917119093,63
917119093,101
917119093,56
917119093,122
917119093,236
863861244,288
863861244,279
863861244,181
863861244,180
863861244,294
863861244,313
863861244,123
421168155,197
421168155,102
421168155,54
421168155,60
421168155,82
818021944,179
818021944,41
818021944,139
818021944,35
818021944,195
818021944,74
818021944,69
139675375,248
139675375,92
139675375,170
139675375,244
139675375,227
731921613,173
731921613,125
731921613,68
731921613,53
731921613,70
731921613,75
877831367,165
877831367,141
877831367,62
877831367,256
877831367,262
877831367,293
877831367,135
697479426,242
697479426,135
697479426,29
697479426,64
697479426,260
148738946,91
148738946,76
148738946,47
148738946,312
148738946,120
148738946,249
148738946,46
100000062,106
100000062,3
100000062,91
100000062,140
100000062,33
100000062,134
100000062,64
577483577,215
577483577,291
577483577,209
577483577,55
577483577,19
577483577,245
577483577,137
922625532,278
922625532,28
922625532,318
922625532,151
922625532,278
511379958,90
511379958,253
511379958,17
511379958,32
511379958,147
511379958,203
511379958,313
578896162,166
578896162,49
578896162,294
578896162,223
578896162,209
578896162,173
448517496,33
448517496,174
448517496,125
448517496,299
448517496,106
448517496,317
848500860,154
848500860,11
848500860,121
848500860,187
848500860,312
848500860,128
848500860,316
592515220,62
592515220,305
592515220,147
592515220,10
592515220,177
100000068,8
100000068,182
100000068,45
100000068,271
378100947,189
378100947,161
378100947,309
378100947,296
378100947,277
378100947,162
287986033,272
287986033,128
287986033,307
287986033,110
287986033,307
287986033,259
695769552,253
695769552,165
695769552,210
695769552,285
695769552,70
665084529,271
665084529,78
665084529,28
665084529,12
665084529,87
665084529,282
619319418,293
619319418,127
619319418,8
619319418,27
415343665,61
415343665,298
415343665,160
415343665,17
415343665,273
100000059,26
100000059,101
100000059,34
100000059,201
100000059,70
100000059,134
100000059,165
100000065,149
100000065,288
100000065,321
100000065,226
100000065,283
100000065,238
558020914,42
558020914,251
558020914,32
558020914,91
558020914,311
558020914,149
558020914,56
575250883,255
575250883,51
575250883,221
575250883,195
575250883,237
497423343,31
497423343,33
497423343,204
497423343,314
497423343,113
222025475,105
222025475,246
222025475,85
222025475,81
222025475,113
981073463,247
981073463,65
981073463,129
981073463,31
981073463,8
981073463,252
350916127,290
350916127,151
350916127,80
350916127,305
350916127,27
903552170,2
903552170,60
903552170,68
903552170,149
903552170,249
903552170,90
564813482,295
564813482,58
564813482,10
564813482,194
564813482,72
564813482,211
469554539,115
469554539,178
469554539,150
469554539,275
469554539,173
469554539,311
428474999,321
428474999,178
428474999,71
428474999,306
428474999,218
100000017,66
100000017,93
100000017,176
100000017,190
100000017,111
610807352,164
610807352,193
610807352,289
610807352,289
610807352,57
854562728,196
854562728,175
854562728,80
854562728,294
854562728,165
854562728,118
220660195,122
220660195,194
220660195,185
220660195,216
220660195,59
797964938,122
797964938,85
797964938,37
797964938,222
797964938,60
140504709,163
140504709,134
140504709,234
140504709,207
140504709,76
140504709,43
492915814,149
492915814,211
492915814,187
492915814,177
798378606,119
798378606,51
798378606,84
798378606,28
798378606,171
798378606,209
614231199,166
614231199,56
614231199,33
614231199,228
614231199,222
614231199,223
614231199,275
532823545,299
532823545,297
532823545,15
532823545,253
532823545,204
140514537,78
140514537,165
140514537,308
140514537,192
140514537,70
140514537,127
493112501,273
493112501,7
493112501,92
493112501,155
493112501,135
493112501,260
493112501,173
100000052,207
100000052,183
100000052,54
100000052,257
100000052,39
552297348,43
552297348,297
552297348,267
552297348,262
552297348,316
552297348,72
563951297,275
563951297,61
563951297,320
563951297,24
563951297,147
855319285,248
855319285,134
855319285,309
855319285,149
855319285,93
855319285,18
796710786,76
796710786,130
796710786,38
796710786,223
796710786,97
796710786,166
796710786,291
289329422,9
289329422,64
289329422,15
289329422,229
289329422,131
289329422,36
670178227,108
670178227,315
