Section_ID,Section_Number,Course_ID,Location,S_Info,S_Capacity,Date,ProfessorSSN
1,001,CS 1134,ECSN 3.377,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,910020692
2,002,CS 1134,ECSN 3.377,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,910020692
3,003,CS 1134,ECSN 3.377,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,910020692
4,001,CS 1136,ECSS 4.304,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,256694928
5,002,CS 1136,ECSS 4.304,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,256694928
6,003,CS 1136,ECSS 4.304,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,256694928
7,004,CS 1136,ECSS 4.304,Computer Science Laboratory,110,Tu-Th 1:00-2:15 PM,256694928
8,001,CS 1200,ECSS 2.748,Introduction to Computer Science and Software Engineering,70,Tu-Th 1:00-2:15 PM,476540924
9,001,CS 1324,ECSS 3.995,Introduction to Programming for Biomedical Engineers,150,Mo-We 9:00-10:15 AM,723893318
10,001,CS 1325,ECSS 4.113,Introduction to Programming,70,Tu-Th 10:30-11:45 AM,764551079
11,002,CS 1325,ECSS 4.113,Introduction to Programming,70,Tu-Th 10:30-11:45 AM,764551079
12,003,CS 1325,ECSS 4.113,Introduction to Programming,70,Tu-Th 10:30-11:45 AM,764551079
13,004,CS 1325,ECSS 4.113,Introduction to Programming,70,Tu-Th 10:30-11:45 AM,764551079
14,005,CS 1325,ECSS 4.113,Introduction to Programming,70,Tu-Th 10:30-11:45 AM,764551079
15,001,CS 1334,ECSW 3.184,Programming Fundamentals for Non-Majors,70,Tu-Th 1:00-2:15 PM,601765707
16,001,CS 1335,ECSS 3.103,Computer Science I for Non-majors,130,Tu-Th 1:00-2:15 PM,856634553
17,002,CS 1335,ECSS 3.103,Computer Science I for Non-majors,130,Tu-Th 1:00-2:15 PM,856634553
18,001,CS 1336,ECSW 3.587,Programming Fundamentals,70,Mo-We 9:00-10:15 AM,672157538
19,002,CS 1336,ECSW 3.587,Programming Fundamentals,70,Mo-We 9:00-10:15 AM,672157538
20,003,CS 1336,ECSW 3.587,Programming Fundamentals,70,Mo-We 9:00-10:15 AM,672157538
21,004,CS 1336,ECSW 3.587,Programming Fundamentals,70,Mo-We 9:00-10:15 AM,672157538
22,005,CS 1336,ECSW 3.587,Programming Fundamentals,70,Mo-We 9:00-10:15 AM,672157538
23,001,CS 1337,ECSS 3.970,Computer Science I,150,Tu-Th 9:00-10:15 AM,360662923
24,001,CS 1436,ECSS 4.617,Programming Fundamentals,130,Mo-We 1:00-2:15 PM,306132758
25,002,CS 1436,ECSS 4.617,Programming Fundamentals,130,Mo-We 1:00-2:15 PM,306132758
26,003,CS 1436,ECSS 4.617,Programming Fundamentals,130,Mo-We 1:00-2:15 PM,306132758
27,004,CS 1436,ECSS 4.617,Programming Fundamentals,130,Mo-We 1:00-2:15 PM,306132758
28,005,CS 1436,ECSS 4.617,Programming Fundamentals,130,Mo-We 1:00-2:15 PM,306132758
29,001,CS 2305,ECSS 3.214,Discrete Mathematics for Computing I,70,Mo-We 9:00-10:15 AM,100000000
30,002,CS 2305,ECSS 3.214,Discrete Mathematics for Computing I,70,Mo-We 9:00-10:15 AM,100000000
31,001,CS 2335,ECSW 4.418,Computer Science II for Non-majors,130,Tu-Th 10:30-11:45 AM,770545107
32,002,CS 2335,ECSW 4.418,Computer Science II for Non-majors,130,Tu-Th 10:30-11:45 AM,770545107
33,003,CS 2335,ECSW 4.418,Computer Science II for Non-majors,130,Tu-Th 10:30-11:45 AM,770545107
34,004,CS 2335,ECSW 4.418,Computer Science II for Non-majors,130,Tu-Th 10:30-11:45 AM,770545107
35,001,CS 2336,ECSN 3.194,Computer Science II,130,Tu-Th 1:00-2:15 PM,423949264
36,002,CS 2336,ECSN 3.194,Computer Science II,130,Tu-Th 1:00-2:15 PM,423949264
37,003,CS 2336,ECSN 3.194,Computer Science II,130,Tu-Th 1:00-2:15 PM,423949264
38,004,CS 2336,ECSN 3.194,Computer Science II,130,Tu-Th 1:00-2:15 PM,423949264
39,005,CS 2336,ECSN 3.194,Computer Science II,130,Tu-Th 1:00-2:15 PM,423949264
40,001,CS 2337,ECSW 2.734,Computer Science II,90,Mo-We 9:00-10:15 AM,632151738
41,002,CS 2337,ECSW 2.734,Computer Science II,90,Mo-We 9:00-10:15 AM,632151738
