SSN,Status
165090933,Senior
153530670,Sophomore
789313016,Freshman
978250576,Graduated
354894823,Graduated
675345800,Senior
837349019,Graduated
724134517,Freshman
905807520,Freshman
200311227,Freshman
239723563,Senior
914408084,Junior
100000002,Sophomore
607222274,Senior
251880287,Senior
100000003,Dropped
100000004,Freshman
143525711,Junior
940867683,Junior
498274608,Freshman
690651636,Dropped
460841569,Senior
968964215,Senior
318653319,Senior
100000005,Graduated
976061078,Junior
459155804,Graduated
673535978,Freshman
985075643,Senior
713964741,Dropped
816946341,Graduated
693959601,Freshman
422039599,Junior
863425755,Dropped
837765707,Sophomore
489953771,Freshman
306164905,Freshman
463885038,Freshman
639158373,Graduated
185437537,Dropped
508700448,Graduated
315727734,Dropped
455628746,Sophomore
156438046,Freshman
665084529,Junior
316405161,Freshman
743234410,Sophomore
499812945,Sophomore
713710184,Junior
354735680,Sophomore
406730036,Senior
350825420,Sophomore
971003255,Senior
422926638,Senior
438701890,Dropped
848500860,Freshman
100000006,Freshman
431903294,Senior
469430660,Sophomore
617819228,Sophomore
140504709,Junior
746423780,Graduated
351166872,Junior
789244692,Dropped
493184669,Senior
632058071,Freshman
518135220,Senior
382309263,Graduated
446449911,Dropped
371770700,Freshman
562898293,Graduated
726172298,Junior
287986033,Dropped
100000007,Dropped
290277089,Freshman
352674156,Graduated
634276401,Freshman
129280263,Graduated
351694746,Dropped
293186456,Junior
469182121,Senior
423003161,Graduated
728533392,Senior
159057629,Freshman
642064066,Junior
491523061,Dropped
139620818,Dropped
854602537,Sophomore
941338455,Sophomore
509736956,Freshman
394365269,Sophomore
863327710,Sophomore
560458287,Junior
695317014,Junior
706572534,Sophomore
789059957,Junior
555638528,Junior
100000008,Senior
846285935,Dropped
756676077,Dropped
202448052,Sophomore
427441052,Freshman
878784565,Senior
948088395,Junior
632698840,Sophomore
557935007,Junior
618045282,Graduated
418256535,Junior
490512206,Junior
100000009,Freshman
796710786,Junior
669393590,Junior
450195244,Junior
979966424,Dropped
655500756,Junior
122766420,Dropped
100000010,Junior
379308077,Dropped
841368422,Senior
480134868,Freshman
619319418,Junior
166137407,Graduated
660809440,Sophomore
140357503,Dropped
913261728,Graduated
699678615,Freshman
619554042,Junior
622507523,Graduated
509690476,Senior
100000011,Junior
382344942,Junior
525268183,Freshman
912615981,Senior
174631601,Sophomore
452026043,Freshman
450010674,Senior
347842732,Dropped
951367056,Senior
597574672,Junior
278385512,Dropped
868356701,Graduated
175673079,Junior
684634282,Sophomore
249080948,Sophomore
589805086,Graduated
692505615,Graduated
507461788,Junior
268473315,Graduated
149973719,Sophomore
569317071,Freshman
977618865,Senior
457703052,Senior
521254384,Senior
411620820,Freshman
172615399,Freshman
951402384,Sophomore
586537724,Sophomore
361400779,Sophomore
493112501,Graduated
806708098,Graduated
390538610,Senior
172759481,Junior
506902216,Freshman
834112233,Sophomore
980343898,Graduated
354896138,Freshman
421550895,Senior
857149319,Dropped
213046640,Sophomore
100000012,Dropped
910024652,Dropped
751972468,Junior
627517641,Dropped
100000013,Freshman
872400342,Sophomore
348996489,Dropped
816334009,Graduated
487452265,Sophomore
775632900,Junior
823810119,Senior
100000014,Freshman
992315967,Senior
569709267,Dropped
786041237,Dropped
123155514,Freshman
246310500,Dropped
100000015,Graduated
895629150,Junior
586864135,Sophomore
597091595,Senior
785725811,Sophomore
293010195,Sophomore
691369051,Graduated
704371183,Dropped
290953684,Dropped
767348248,Sophomore
372745862,Dropped
100000016,Dropped
563951297,Junior
100000017,Junior
285603712,Dropped
930901196,Freshman
621493035,Graduated
627362409,Junior
109730698,Dropped
274293039,Dropped
950296005,Sophomore
872890293,Sophomore
222772332,Freshman
350916127,Junior
917119093,Sophomore
100000018,Sophomore
100000019,Senior
365328759,Sophomore
571320781,Graduated
878113706,Graduated
183408154,Graduated
100000020,Sophomore
727209592,Junior
313716645,Sophomore
100000021,Dropped
894584013,Dropped
100000022,Freshman
515366444,Dropped
100000023,Junior
329661340,Graduated
870542815,Freshman
508175756,Sophomore
809227630,Freshman
675981741,Freshman
254162963,Senior
696379272,Freshman
461444858,Junior
981066616,Dropped
848463319,Sophomore
200326629,Dropped
705919886,Senior
878803525,Junior
501266473,Freshman
842727338,Junior
860738998,Graduated
100000024,Senior
912730850,Freshman
405644051,Freshman
378100947,Senior
821230172,Junior
224675218,Sophomore
100000025,Sophomore
156526146,Dropped
627311685,Graduated
936650072,Junior
208221954,Senior
479632461,Senior
496644618,Senior
811705918,Freshman
596877282,Freshman
224163916,Dropped
584937760,Junior
599489305,Senior
853677263,Freshman
992677232,Dropped
679411264,Graduated
628758312,Freshman
387675834,Sophomore
857184401,Graduated
558020914,Freshman
695769552,Freshman
543468696,Junior
939171260,Graduated
344954523,Sophomore
201684871,Sophomore
968684148,Dropped
552839373,Freshman
651384401,Graduated
659413809,Graduated
400536409,Sophomore
846802993,Freshman
100000026,Freshman
660296604,Dropped
638029666,Freshman
399265425,Graduated
797964938,Senior
235684437,Freshman
421176673,Dropped
732191692,Graduated
541880068,Freshman
385332923,Senior
860858292,Graduated
100000027,Sophomore
328304786,Graduated
100000028,Dropped
528602885,Sophomore
232463973,Graduated
535585025,Graduated
100000029,Graduated
945332547,Freshman
873784666,Senior
915440837,Dropped
448950483,Freshman
576687226,Graduated
388211450,Senior
246613425,Graduated
962139099,Freshman
799907038,Graduated
579406719,Senior
415343665,Freshman
750176742,Freshman
100000030,Graduated
537163809,Graduated
339708300,Graduated
209345817,Senior
359196383,Junior
200700144,Junior
875217551,Senior
444199247,Graduated
978950152,Junior
100000031,Graduated
858237987,Dropped
252681093,Dropped
969182868,Sophomore
170915019,Junior
673823620,Junior
465507294,Junior
532823545,Senior
130849538,Junior
798092785,Dropped
989916266,Freshman
100000032,Graduated
546664614,Graduated
238352398,Junior
968805149,Sophomore
245120297,Graduated
459870631,Graduated
592694106,Dropped
903552170,Graduated
377839834,Dropped
695459820,Sophomore
322731832,Dropped
824566824,Graduated
456341239,Dropped
843456677,Dropped
847262215,Freshman
249430699,Dropped
213910249,Dropped
484315908,Freshman
533603124,Dropped
704418877,Graduated
820299962,Graduated
383669257,Graduated
773852123,Dropped
568885552,Freshman
139675375,Dropped
197458669,Senior
917134528,Senior
248395736,Graduated
174332696,Freshman
426920038,Graduated
959441262,Junior
655410585,Dropped
828130093,Junior
315859447,Dropped
272348825,Dropped
818021944,Graduated
222025475,Sophomore
454374104,Sophomore
538279222,Sophomore
331433842,Freshman
359578474,Senior
513973005,Freshman
804055173,Freshman
747380244,Graduated
295296741,Graduated
774811004,Sophomore
392661016,Junior
368852692,Junior
370375018,Senior
427362965,Freshman
523698157,Graduated
119669553,Freshman
657500988,Freshman
614231199,Dropped
100000033,Sophomore
629067319,Senior
574300329,Senior
313349492,Senior
869974689,Dropped
199727143,Senior
541893793,Sophomore
826354697,Freshman
198132165,Senior
100000034,Graduated
279162546,Graduated
372414748,Graduated
102283760,Freshman
929736750,Sophomore
101739660,Dropped
759603011,Dropped
390818213,Sophomore
376664011,Freshman
967195265,Sophomore
289460316,Senior
187377213,Junior
100000035,Senior
214783445,Sophomore
100000036,Sophomore
775699667,Sophomore
845761039,Junior
552411116,Freshman
689586330,Graduated
465735607,Junior
387564166,Junior
100000037,Graduated
733700590,Graduated
567424996,Freshman
907934014,Senior
100000038,Junior
457743532,Junior
927304408,Freshman
386707720,Junior
918163362,Senior
954729948,Senior
100000039,Junior
798378606,Junior
697479426,Junior
780161480,Junior
792693264,Dropped
380910782,Dropped
186302892,Freshman
553115802,Senior
768048671,Sophomore
256215940,Graduated
244310583,Graduated
247902318,Dropped
817949260,Senior
100000040,Junior
100000041,Senior
705281293,Freshman
399433889,Freshman
127623110,Junior
170752202,Dropped
721899056,Dropped
913825748,Junior
643323582,Senior
598157287,Sophomore
690275357,Sophomore
370546816,Junior
738787985,Senior
420943618,Junior
492915814,Sophomore
532010062,Freshman
115774329,Dropped
947378132,Senior
175768293,Sophomore
311401416,Junior
976178206,Sophomore
912841141,Dropped
220660195,Sophomore
175992227,Sophomore
577221295,Freshman
100000042,Freshman
187823540,Graduated
702699563,Sophomore
817303771,Dropped
221268808,Junior
984951643,Dropped
954328143,Freshman
360937419,Sophomore
630763594,Freshman
939233821,Senior
317423834,Dropped
915553981,Dropped
717232379,Freshman
100000043,Senior
159228671,Dropped
392926531,Freshman
606978642,Junior
310626467,Sophomore
208560084,Junior
572224617,Graduated
937564802,Dropped
515957515,Senior
226323832,Graduated
635926566,Senior
972109917,Freshman
735366050,Dropped
605425137,Senior
421168155,Freshman
287768702,Sophomore
252628024,Sophomore
688615296,Senior
744675232,Dropped
551230821,Dropped
286814571,Senior
396683565,Sophomore
610807352,Junior
531962051,Senior
802730088,Senior
100000044,Sophomore
100000045,Sophomore
270848482,Junior
100000046,Dropped
731921613,Sophomore
920002561,Graduated
749942194,Sophomore
834932210,Freshman
730822342,Dropped
941330580,Senior
607152926,Freshman
328297191,Graduated
288595635,Junior
219696871,Senior
630144281,Sophomore
185164376,Senior
100000047,Dropped
182466487,Sophomore
801414156,Senior
598032398,Graduated
731941847,Sophomore
296542833,Senior
448517496,Freshman
546964605,Freshman
107110226,Junior
236904003,Sophomore
338354016,Senior
709205744,Graduated
420861378,Freshman
865728004,Senior
703371040,Sophomore
100000048,Senior
444794052,Junior
497423343,Dropped
736252074,Freshman
120915055,Junior
100000049,Freshman
452066640,Freshman
458509960,Sophomore
592515220,Freshman
172798883,Senior
100000050,Graduated
468496763,Dropped
464786411,Junior
815498989,Sophomore
100000051,Freshman
896453458,Dropped
664982578,Dropped
652611160,Senior
787354962,Freshman
444364698,Dropped
164683291,Graduated
100000052,Graduated
717034347,Senior
300178145,Junior
959151452,Junior
299279223,Graduated
504448684,Junior
371408622,Junior
196397813,Senior
459333929,Dropped
155022875,Senior
916952800,Graduated
758496807,Senior
478532241,Junior
506083695,Junior
100000053,Graduated
594735641,Junior
675078454,Graduated
340433888,Sophomore
248946972,Dropped
100000054,Dropped
641748253,Sophomore
547635042,Senior
623463642,Sophomore
172507097,Senior
775852716,Sophomore
557793935,Freshman
829954517,Sophomore
686895345,Graduated
536887669,Sophomore
602696012,Dropped
113446224,Junior
885740203,Dropped
348188268,Dropped
140514537,Senior
514086103,Junior
575250883,Graduated
872197714,Sophomore
100000055,Dropped
500019392,Junior
100000056,Sophomore
126902403,Junior
859707809,Sophomore
246499922,Freshman
398241407,Graduated
315730461,Senior
653139111,Freshman
987260886,Freshman
988405591,Dropped
127440715,Graduated
231865958,Freshman
719207995,Dropped
100000057,Sophomore
878686104,Dropped
944480866,Freshman
202313370,Freshman
986741551,Dropped
944318588,Senior
552297348,Graduated
514515992,Senior
637015424,Graduated
612632242,Graduated
100000058,Dropped
806336128,Freshman
607818708,Graduated
545686211,Dropped
418617026,Senior
100000059,Senior
