StudentSSN,SectionID,Grade
569379641,183,3.8
569379641,214,2.2
569379641,280,3.6
569379641,276,3.8
721899056,88,3.4
721899056,12,3.7
721899056,138,3.6
721899056,27,2.6
721899056,235,2.4
721899056,110,2.7
278385512,310,2.6
278385512,58,3.5
278385512,213,3.2
278385512,245,3.3
278385512,196,3.2
792516743,261,3.1
792516743,78,2.3
792516743,233,2.3
792516743,66,2.9
792516743,158,2.4
792516743,219,2.2
518135220,53,2.6
518135220,319,3.1
518135220,273,2.6
518135220,299,2.6
518135220,308,2.8
372736581,59,2.8
372736581,134,2.9
372736581,258,2.7
372736581,8,2.7
372736581,131,3.8
775699667,235,3.8
775699667,81,3.4
775699667,48,2.3
775699667,180,2.3
775699667,193,2.8
775699667,106,2.9
231748591,218,2.2
231748591,100,2
231748591,49,3
231748591,192,3.3
231748591,72,2.5
231748591,211,3.8
231748591,122,3.2
175992227,214,2.7
175992227,103,3.3
175992227,238,2.3
175992227,117,3.4
175992227,167,2.6
100000030,304,3.2
100000030,175,2.9
100000030,13,3.1
100000030,31,2.9
100000030,179,2.4
100000030,293,2.2
100000030,24,2.6
170752202,121,3.8
170752202,182,3.6
170752202,208,3.7
170752202,259,2.2
170752202,165,3.5
170752202,201,3.2
382309263,259,3.7
382309263,126,3.7
382309263,256,2.1
382309263,82,3.6
382309263,106,3.5
382309263,141,4
382309263,65,3.4
771769527,151,3.4
771769527,32,3.3
771769527,50,2.4
771769527,1,2.2
771769527,80,2.4
750793970,168,3.7
750793970,40,2.1
750793970,318,3
750793970,238,2.5
744675232,186,2.1
744675232,164,2.7
744675232,179,3.1
744675232,291,3.7
744675232,69,2.7
744675232,271,3
542384857,248,3.3
542384857,185,2.2
542384857,151,3.7
542384857,135,3.5
634276401,316,3.9
634276401,114,2.9
634276401,114,3.7
634276401,178,2.5
634276401,126,2.4
634276401,59,3.8
634276401,89,3
817949260,197,2.1
817949260,115,2.4
817949260,240,2.1
817949260,208,3.5
817949260,9,2
817949260,232,2.2
817949260,184,2
120915055,293,2.1
120915055,17,2.4
120915055,148,3.8
120915055,199,3
120915055,118,3
936096402,29,2.7
936096402,194,2.5
936096402,4,2.8
936096402,9,2.1
936096402,159,3.1
424527880,20,2.2
424527880,103,2.9
424527880,192,3.4
424527880,29,3
424527880,68,3
424527880,319,3.9
424527880,28,2.9
509240053,183,2.7
509240053,219,3.4
509240053,97,3.6
509240053,264,3.2
509240053,249,3
509240053,143,2.5
509240053,31,3.2
878686104,173,2
878686104,141,2.4
878686104,251,2.5
878686104,286,3.1
492965119,145,4
492965119,211,2
492965119,27,3
492965119,231,2.4
492965119,14,3.5
519233506,289,3.5
519233506,118,2.5
519233506,201,2.1
519233506,121,2.5
519233506,254,2.8
519233506,229,3.3
113129880,96,3.6
113129880,131,2.2
113129880,162,2.9
113129880,85,2.4
113129880,239,2.3
828130093,243,3.1
828130093,92,3.2
828130093,162,3.8
828130093,51,3
444199247,237,2.7
444199247,229,3.4
444199247,147,3.5
444199247,217,3.1
444199247,190,3.3
444199247,74,2.3
949654912,242,2.1
949654912,250,3.4
949654912,188,2.2
949654912,250,2.3
949654912,130,2.4
854960070,105,2
854960070,89,3.9
854960070,26,3.1
854960070,147,2.3
854960070,26,2.7
854960070,115,2
318653319,190,3.5
318653319,197,2.2
318653319,166,2.9
318653319,42,4
318653319,106,3.7
816946341,99,3.8
816946341,8,3.3
816946341,159,2.4
816946341,172,2.3
816946341,181,2.4
816946341,155,3.5
816946341,156,3.3
100000050,292,3.7
100000050,85,2.8
100000050,310,2.3
100000050,281,3
100000050,262,3.7
100000050,166,2.8
100000049,123,3.1
100000049,20,3.4
100000049,1,2.2
100000049,182,2.3
100000049,243,3.9
727209592,302,2.1
727209592,108,4
727209592,164,2
727209592,123,3.5
727209592,33,2.6
643323582,131,3.7
643323582,112,4
643323582,23,4
643323582,90,3.9
643323582,183,2.4
941338455,257,2.5
941338455,279,2.5
941338455,121,3.7
941338455,192,3.6
252681093,68,4
252681093,27,3.5
252681093,228,2.5
252681093,283,2.2
252681093,32,3
252681093,193,2.1
252681093,45,2.6
468496763,79,3.8
468496763,160,3.8
468496763,29,2.5
468496763,44,2.4
468496763,180,2.8
468496763,77,3.9
581097716,108,2.7
581097716,131,3.4
581097716,257,3.4
581097716,211,3.9
581097716,120,3.3
581097716,208,3.4
581097716,84,2.1
100000056,246,3.8
100000056,77,3.2
100000056,66,3.4
100000056,27,3.9
100000056,167,2.5
100000056,118,2.1
100000056,91,3.3
100000087,129,2.5
100000087,112,3.6
100000087,125,3.9
100000087,212,3.3
100000087,204,3.8
664982578,126,3.9
664982578,290,3.9
664982578,76,3.8
664982578,123,3.1
664982578,191,3.6
664982578,308,2.8
664982578,147,2.2
878113706,213,3.9
878113706,269,3
878113706,181,3.9
878113706,70,3
878113706,13,3.7
878113706,69,2.2
878113706,13,2.2
418256535,275,2.4
418256535,214,3.3
418256535,180,3
418256535,241,2.4
418256535,21,3
610363248,20,3.7
610363248,197,2.9
610363248,128,3.5
610363248,186,2.1
610363248,77,2.5
610363248,46,3.4
610363248,244,2.3
370546816,239,3.5
370546816,256,2.2
370546816,250,3.6
370546816,208,2.7
370546816,122,3.7
399265425,306,3.5
399265425,88,3
399265425,71,2.1
399265425,281,3.3
399265425,142,3.9
399265425,207,3
295296741,82,3.1
295296741,192,2.4
295296741,277,3.5
295296741,146,2.4
295296741,117,2.2
295296741,57,3.1
100000032,246,3.2
100000032,112,3.1
100000032,49,2.9
100000032,287,3.3
100000032,29,3.4
100000032,13,2.2
696379272,50,2.5
696379272,109,3
696379272,22,2.1
696379272,57,2
696379272,80,2.9
969872661,60,3.4
969872661,228,2.8
969872661,278,3.3
969872661,314,3.9
969872661,102,2.1
185437537,237,3.9
185437537,253,2.9
185437537,127,2.6
185437537,264,2.3
185437537,134,2.5
567401867,206,3.6
567401867,80,3.2
567401867,163,2.9
567401867,216,2.3
567401867,156,3.5
567401867,310,2.7
567401867,301,3.7
209345817,153,3.4
209345817,98,2.1
209345817,139,2.7
209345817,278,2.5
209345817,273,3.5
679411264,23,3.2
679411264,284,3.1
