UserID,School_Email,Password,Date_Created
1,jag1@utdallas.edu,7H+e(wUUvGaL,2021-12-13 00:00:00
2,agg2@utdallas.edu,U5Ja9RL5erg!,2023-05-24 00:00:00
3,hjs3@utdallas.edu,DOa=VE+Uc%DE,2024-02-18 00:00:00
4,icj4@utdallas.edu,b!CupUZA+@Oa,2020-11-23 00:00:00
5,bgs5@utdallas.edu,qxeKgQKJ2new,2019-02-05 00:00:00
6,bcm6@utdallas.edu,VB-2ea_xqJW0,2021-01-15 00:00:00
7,ddg7@utdallas.edu,!v#64aEKQKlO,2019-04-06 00:00:00
8,aaj8@utdallas.edu,&7RhQ^EUKMMy,2024-08-21 00:00:00
9,gcm9@utdallas.edu,UUcrjL7L#9ca,2024-02-11 00:00:00
10,eim10@utdallas.edu,jqnOu8)CJtUf,2024-02-14 00:00:00
11,cfb11@utdallas.edu,Qt1xq#+EifLo,2021-09-11 00:00:00
12,bid12@utdallas.edu,#suh#$Bl7(lu,2022-10-28 00:00:00
13,chm13@utdallas.edu,lD$Ie0YxJzFI,2023-03-07 00:00:00
14,hjw14@utdallas.edu,GkXFhriiaDYO,2021-08-07 00:00:00
15,gbd15@utdallas.edu,PPIz_3=vVVYp,2021-01-30 00:00:00
16,bes16@utdallas.edu,yKI_eMrZCamX,2020-08-25 00:00:00
17,efm17@utdallas.edu,$1vZaC(b+Sa@,2024-05-17 00:00:00
18,ggm18@utdallas.edu,3_&EaZH4v=xW,2022-04-16 00:00:00
19,ged19@utdallas.edu,yDCGtNwzu(st,2022-02-14 00:00:00
20,eeb20@utdallas.edu,%jqmg2wgEjr(,2024-06-19 00:00:00
21,acb21@utdallas.edu,#t7yejeZQaA),2022-05-09 00:00:00
22,egw22@utdallas.edu,zMTtO8H-n!S5,2021-04-24 00:00:00
23,gdm23@utdallas.edu,I$N#gnJCYB14,2021-10-14 00:00:00
24,iaj24@utdallas.edu,KZ=LkebWlxd%,2021-08-16 00:00:00
25,acj25@utdallas.edu,0I&6vyEoLRe4,2020-10-05 00:00:00
26,fdd26@utdallas.edu,YiWcz7TAqwLD,2022-08-09 00:00:00
27,ehm27@utdallas.edu,mvREzdgHAOC4,2019-05-18 00:00:00
28,jig28@utdallas.edu,+(C*QAN_GwGE,2024-04-04 00:00:00
29,agm29@utdallas.edu,bZARO0=pwSVi,2021-01-29 00:00:00
30,fid30@utdallas.edu,dWDT_ZGi-jh7,2021-10-23 00:00:00
31,ibm31@utdallas.edu,qnU1Mgv&pn$W,2019-05-22 00:00:00
32,idm32@utdallas.edu,zK)U9K7Q&38Z,2024-04-12 00:00:00
33,gds33@utdallas.edu,v#_9pBeZCeTm,2022-06-23 00:00:00
34,fdj34@utdallas.edu,*JggVJQlI0Z_,2023-08-05 00:00:00
35,jjm35@utdallas.edu,cUgy&4)oV$pz,2023-03-14 00:00:00
36,dgj36@utdallas.edu,Lc5UiF$!$^xw,2024-10-08 00:00:00
37,ijm37@utdallas.edu,D*FaMCKgHcRL,2024-07-21 00:00:00
38,abj38@utdallas.edu,nsANLYog1iJP,2024-04-16 00:00:00
39,jhg39@utdallas.edu,o=ZApa=Gl_P^,2020-04-05 00:00:00
40,dem40@utdallas.edu,)%62_k(zBhFN,2021-11-06 00:00:00
41,cdl41@utdallas.edu,A#B##f!Ev5&^,2019-05-15 00:00:00
42,ics42@utdallas.edu,h7=4SpeUv@1k,2021-06-25 00:00:00
43,bjm43@utdallas.edu,rrbfp-i!)00*,2023-02-08 00:00:00
44,gds44@utdallas.edu,9tC&Ecat!bYD,2024-02-28 00:00:00
45,acg45@utdallas.edu,jjrNTiPKLjkn,2022-10-22 00:00:00
46,fab46@utdallas.edu,2bAr(9cuzFXb,2024-12-30 00:00:00
47,jcw47@utdallas.edu,Bq-c&ZtQ_c@_,2023-05-12 00:00:00
48,chw48@utdallas.edu,QPyI@6f=)Pc%,2023-11-09 00:00:00
49,did49@utdallas.edu,p54GE+tXT%(F,2022-01-17 00:00:00
50,iid50@utdallas.edu,bz5kDGSrdGll,2023-03-28 00:00:00
51,bhb51@utdallas.edu,&QUBsC1ZcBJ*,2021-12-22 00:00:00
52,bbl52@utdallas.edu,6+RGDB5^OQxG,2023-08-09 00:00:00
53,jjb53@utdallas.edu,E&6JUisdDCIr,2021-12-24 00:00:00
54,fil54@utdallas.edu,cy6TsBFURRKv,2021-10-04 00:00:00
55,bij55@utdallas.edu,7(NM(r^Oyz^0,2021-06-25 00:00:00
56,hfj56@utdallas.edu,EMycATc!tjY%,2024-01-17 00:00:00
57,fim57@utdallas.edu,DyS=O1aadnf0,2024-02-04 00:00:00
58,ajm58@utdallas.edu,*T1d7APFsWxl,2021-05-24 00:00:00
59,fbj59@utdallas.edu,rG=@&5S54%0b,2023-03-27 00:00:00
60,iag60@utdallas.edu,AFAWunwLGhe%,2023-08-24 00:00:00
61,ibs61@utdallas.edu,^sPNG4cH2uX!,2022-04-11 00:00:00
62,his62@utdallas.edu,6)z+&gdW+p9&,2019-12-31 00:00:00
63,cjd63@utdallas.edu,xMl5AC5G#a=2,2022-04-04 00:00:00
64,bgm64@utdallas.edu,=Y39zu!Gabzf,2023-04-28 00:00:00
65,ghd65@utdallas.edu,BC4KqIHNU#Vm,2021-03-09 00:00:00
66,aem66@utdallas.edu,M^&k28@p^$ag,2024-04-08 00:00:00
67,jel67@utdallas.edu,rRftgpJlaT8F,2021-03-30 00:00:00
68,idm68@utdallas.edu,_gh2d!mnOI=F,2019-10-23 00:00:00
69,ejm69@utdallas.edu,lq++EJ@EuYOH,2021-10-10 00:00:00
70,igw70@utdallas.edu,b9%7UKUu-v6f,2024-09-20 00:00:00
71,agw71@utdallas.edu,zTEMuKH2XW_p,2019-01-28 00:00:00
72,acd72@utdallas.edu,kW@W7#1!D*d8,2022-07-13 00:00:00
73,gjj73@utdallas.edu,&G%pU7UkAbsm,2020-11-18 00:00:00
74,ddd74@utdallas.edu,c0l_r-q++yAK,2021-01-01 00:00:00
75,hgj75@utdallas.edu,_rSFE3tp0HGi,2024-07-31 00:00:00
76,ehm76@utdallas.edu,eiOjHwg3FNBW,2019-09-17 00:00:00
77,bds77@utdallas.edu,*wwfQCe_MVYO,2023-04-03 00:00:00
78,icm78@utdallas.edu,NIxW4zev=uWT,2024-06-14 00:00:00
79,bbd79@utdallas.edu,ilEbt8#_0g=Q,2020-03-21 00:00:00
80,agd80@utdallas.edu,mB3(^Ceo4x2a,2023-04-02 00:00:00
81,bel81@utdallas.edu,%rOtUHc1&Bh#,2022-07-11 00:00:00
82,hcg82@utdallas.edu,&$ZQJN_1O=j!,2021-08-30 00:00:00
83,hdm83@utdallas.edu,s6g@5XUetJGo,2019-04-08 00:00:00
84,bgm84@utdallas.edu,jvzq+kVE2UHQ,2021-08-30 00:00:00
85,igw85@utdallas.edu,+bayEWpUn8k#,2024-05-24 00:00:00
86,bij86@utdallas.edu,weZ4foiN0ujS,2022-01-21 00:00:00
87,dij87@utdallas.edu,cv2W(!Xye_i=,2022-03-29 00:00:00
88,ifd88@utdallas.edu,7h#CZQ)cZJhX,2023-08-21 00:00:00
89,cel89@utdallas.edu,XqxaDpT*rJk!,2023-05-09 00:00:00
